mode: set
delightd/pkg/metrics/metrics.go:21.22,25.2 3 1
delightd/pkg/skills/mcp.go:72.10,74.5 1 0
delightd/pkg/skills/mcp.go:75.9,75.80 1 1
delightd/pkg/skills/mcp.go:75.80,78.4 1 1
delightd/pkg/skills/mcp.go:78.9,80.4 1 0
delightd/pkg/skills/mcp.go:82.3,86.10 1 1
delightd/pkg/skills/mcp.go:88.10,89.91 1 0
delightd/config/config.go:51.56,64.45 8 1
delightd/config/config.go:64.45,65.56 1 0
delightd/config/config.go:65.56,67.4 1 0
delightd/config/config.go:68.3,68.88 1 0
delightd/config/config.go:71.2,72.46 2 1
delightd/config/config.go:72.46,74.3 1 0
delightd/config/config.go:76.2,76.18 1 1
delightd/pkg/backup/backup.go:19.135,21.13 2 1
delightd/pkg/backup/backup.go:21.13,22.55 1 1
delightd/pkg/backup/backup.go:22.55,24.4 1 0
delightd/pkg/backup/backup.go:27.2,30.12 3 1
delightd/pkg/backup/backup.go:30.12,34.90 3 1
delightd/pkg/backup/backup.go:34.90,35.18 1 1
delightd/pkg/backup/backup.go:35.18,37.5 1 0
delightd/pkg/backup/backup.go:38.4,38.17 1 1
delightd/pkg/backup/backup.go:38.17,40.93 2 1
delightd/pkg/backup/backup.go:40.93,42.6 1 0
delightd/pkg/backup/backup.go:43.10,45.53 2 1
delightd/pkg/backup/backup.go:45.53,47.6 1 1
delightd/pkg/backup/backup.go:49.4,49.14 1 1
delightd/pkg/backup/backup.go:51.3,51.17 1 1
delightd/pkg/backup/backup.go:51.17,53.4 1 0
delightd/pkg/backup/backup.go:54.3,55.26 2 1
delightd/pkg/backup/backup.go:58.2,60.62 2 1
delightd/pkg/backup/backup.go:60.62,63.3 2 0
delightd/pkg/backup/backup.go:65.2,67.25 2 1
delightd/pkg/backup/backup.go:70.52,72.16 2 1
delightd/pkg/backup/backup.go:72.16,74.3 1 0
delightd/pkg/backup/backup.go:75.2,83.87 6 1
delightd/pkg/backup/backup.go:83.87,84.17 1 1
delightd/pkg/backup/backup.go:84.17,86.4 1 0
delightd/pkg/backup/backup.go:88.3,88.16 1 1
delightd/pkg/backup/backup.go:88.16,90.92 2 1
delightd/pkg/backup/backup.go:90.92,92.5 1 0
delightd/pkg/backup/backup.go:95.3,95.17 1 1
delightd/pkg/backup/backup.go:95.17,97.52 2 1
delightd/pkg/backup/backup.go:97.52,99.5 1 0
delightd/pkg/backup/backup.go:102.3,103.17 2 1
delightd/pkg/backup/backup.go:103.17,105.4 1 0
delightd/pkg/backup/backup.go:106.3,106.21 1 1
delightd/pkg/backup/backup.go:106.21,108.4 1 1
delightd/pkg/backup/backup.go:110.3,111.17 2 1
delightd/pkg/backup/backup.go:111.17,113.4 1 0
delightd/pkg/backup/backup.go:115.3,116.17 2 1
delightd/pkg/backup/backup.go:116.17,118.4 1 0
delightd/pkg/backup/backup.go:120.3,122.48 2 1
delightd/pkg/backup/backup.go:122.48,124.4 1 0
delightd/pkg/backup/backup.go:126.3,126.44 1 1
delightd/pkg/backup/backup.go:126.44,128.18 2 1
delightd/pkg/backup/backup.go:128.18,130.5 1 0
delightd/pkg/backup/backup.go:131.4,133.44 2 1
delightd/pkg/backup/backup.go:133.44,135.5 1 0
delightd/pkg/backup/backup.go:138.3,138.13 1 1
delightd/pkg/backup/backup.go:142.58,144.16 2 1
delightd/pkg/backup/backup.go:144.16,147.3 2 0
delightd/pkg/backup/backup.go:149.2,150.32 2 1
delightd/pkg/backup/backup.go:150.32,151.64 1 1
delightd/pkg/backup/backup.go:151.64,153.4 1 1
delightd/pkg/backup/backup.go:156.2,158.33 2 1
delightd/pkg/backup/backup.go:158.33,160.33 2 1
delightd/pkg/backup/backup.go:160.33,164.4 3 1
delightd/pkg/exports/scanner.go:10.56,15.16 4 1
delightd/pkg/exports/scanner.go:15.16,16.26 1 0
delightd/pkg/exports/scanner.go:16.26,18.4 1 0
delightd/pkg/exports/scanner.go:19.3,19.18 1 0
delightd/pkg/exports/scanner.go:22.2,22.32 1 1
delightd/pkg/exports/scanner.go:22.32,23.20 1 1
delightd/pkg/exports/scanner.go:23.20,24.12 1 0
delightd/pkg/exports/scanner.go:27.3,28.17 2 1
delightd/pkg/exports/scanner.go:28.17,29.12 1 0
delightd/pkg/exports/scanner.go:33.3,33.28 1 1
delightd/pkg/exports/scanner.go:33.28,40.4 2 1
delightd/pkg/exports/scanner.go:43.2,43.21 1 1
delightd/pkg/exports/sync.go:24.40,26.16 2 1
delightd/pkg/exports/sync.go:26.16,28.3 1 0
delightd/pkg/exports/sync.go:30.2,30.46 1 1
delightd/pkg/exports/sync.go:30.46,31.39 1 1
delightd/pkg/exports/sync.go:31.39,33.4 1 1
delightd/pkg/exports/sync.go:34.3,34.18 1 1
delightd/pkg/exports/sync.go:37.2,43.3 1 1
delightd/pkg/exports/sync.go:46.87,49.16 3 1
delightd/pkg/exports/sync.go:49.16,50.57 1 1
delightd/pkg/exports/sync.go:50.57,52.4 1 0
delightd/pkg/exports/sync.go:53.8,53.32 1 1
delightd/pkg/exports/sync.go:53.32,55.3 1 0
delightd/pkg/exports/sync.go:57.2,60.38 2 1
delightd/pkg/exports/sync.go:60.38,61.30 1 1
delightd/pkg/exports/sync.go:61.30,63.4 1 1
delightd/pkg/exports/sync.go:64.3,64.32 1 1
delightd/pkg/exports/sync.go:64.32,66.4 1 1
delightd/pkg/exports/sync.go:70.2,70.38 1 1
delightd/pkg/exports/sync.go:70.38,72.29 2 1
delightd/pkg/exports/sync.go:72.29,74.4 1 1
delightd/pkg/exports/sync.go:76.3,77.34 2 1
delightd/pkg/exports/sync.go:77.34,78.53 1 1
delightd/pkg/exports/sync.go:78.53,80.5 1 1
delightd/pkg/exports/sync.go:84.2,84.13 1 1
delightd/pkg/exports/sync.go:84.13,87.3 2 1
delightd/pkg/exports/sync.go:87.8,89.3 1 1
delightd/pkg/exports/sync.go:91.2,93.39 2 1
delightd/pkg/exports/sync.go:93.39,96.37 2 1
delightd/pkg/exports/sync.go:96.37,100.30 3 1
delightd/pkg/exports/sync.go:100.30,102.19 2 1
delightd/pkg/exports/sync.go:102.19,104.6 1 0
delightd/pkg/exports/sync.go:105.5,106.13 2 1
delightd/pkg/exports/sync.go:109.4,109.15 1 1
delightd/pkg/exports/sync.go:109.15,111.5 1 1
delightd/pkg/exports/sync.go:113.4,115.18 3 1
delightd/pkg/exports/sync.go:115.18,117.13 2 0
delightd/pkg/exports/sync.go:120.4,120.15 1 1
delightd/pkg/exports/sync.go:120.15,121.80 1 1
delightd/pkg/exports/sync.go:121.80,123.14 2 0
delightd/pkg/exports/sync.go:125.10,127.5 1 0
delightd/pkg/exports/sync.go:129.4,130.18 2 1
delightd/pkg/exports/sync.go:130.18,132.5 1 0
delightd/pkg/exports/sync.go:133.4,133.54 1 1
delightd/pkg/exports/sync.go:137.2,140.12 3 1
delightd/pkg/exports/sync.go:143.66,145.40 2 1
delightd/pkg/exports/sync.go:145.40,147.3 1 0
delightd/pkg/exports/sync.go:149.2,149.12 1 1
delightd/pkg/exports/sync.go:149.12,152.3 2 0
delightd/pkg/exports/sync.go:154.2,154.39 1 1
delightd/pkg/exports/sync.go:154.39,156.3 1 0
delightd/pkg/exports/sync.go:158.2,158.49 1 1
delightd/pkg/exports/sync.go:158.49,160.3 1 0
delightd/pkg/exports/sync.go:160.8,162.3 1 1
delightd/pkg/exports/sync.go:165.72,167.16 2 1
delightd/pkg/exports/sync.go:167.16,169.3 1 1
delightd/pkg/exports/sync.go:173.2,173.32 1 1
delightd/pkg/exports/sync.go:173.32,175.25 2 1
delightd/pkg/exports/sync.go:175.25,178.18 3 1
delightd/pkg/exports/sync.go:178.18,179.13 1 0
delightd/pkg/exports/sync.go:183.4,186.31 3 1
delightd/pkg/exports/sync.go:186.31,187.13 1 0
delightd/pkg/exports/sync.go:190.4,193.14 3 1
delightd/pkg/exports/sync.go:193.14,195.13 2 0
delightd/pkg/exports/sync.go:198.4,200.17 2 1
delightd/pkg/exports/sync.go:200.17,202.5 1 0
delightd/pkg/exports/sync.go:203.4,204.77 2 1
delightd/pkg/exports/sync.go:209.80,210.12 1 1
delightd/pkg/exports/sync.go:210.12,213.3 2 1
delightd/pkg/exports/sync.go:214.2,216.37 3 1
delightd/pkg/exports/templates.go:32.53,36.18 3 1
delightd/pkg/exports/templates.go:37.21,38.41 1 1
delightd/pkg/exports/templates.go:39.22,40.42 1 1
delightd/pkg/exports/templates.go:41.10,42.73 1 1
delightd/pkg/exports/templates.go:45.2,45.26 1 1
delightd/pkg/watcher/watcher.go:13.70,18.16 3 1
delightd/pkg/watcher/watcher.go:18.16,19.40 1 1
delightd/pkg/watcher/watcher.go:19.40,21.4 1 1
delightd/pkg/watcher/watcher.go:22.3,22.69 1 0
delightd/pkg/watcher/watcher.go:25.2,26.16 2 1
delightd/pkg/watcher/watcher.go:26.16,28.3 1 0
delightd/pkg/watcher/watcher.go:31.2,32.16 2 1
delightd/pkg/watcher/watcher.go:32.16,34.3 1 0
delightd/pkg/watcher/watcher.go:36.2,38.14 2 1
delightd/pkg/watcher/watcher.go:38.14,41.3 2 1
delightd/pkg/watcher/watcher.go:43.2,43.19 1 1
delightd/pkg/traefik/dynamic.go:38.59,40.16 2 1
delightd/pkg/traefik/dynamic.go:40.16,42.3 1 0
delightd/pkg/traefik/dynamic.go:44.2,45.53 2 1
delightd/pkg/traefik/dynamic.go:45.53,47.3 1 0
delightd/pkg/traefik/dynamic.go:49.2,57.35 6 1
delightd/pkg/traefik/dynamic.go:57.35,58.49 1 1
delightd/pkg/traefik/dynamic.go:58.49,59.12 1 1
delightd/pkg/traefik/dynamic.go:62.3,80.4 4 1
delightd/pkg/traefik/dynamic.go:83.2,83.16 1 1
delightd/pkg/traefik/dynamic.go:83.16,87.3 2 1
delightd/pkg/traefik/dynamic.go:89.2,90.16 2 1
delightd/pkg/traefik/dynamic.go:90.16,92.3 1 0
delightd/pkg/traefik/dynamic.go:94.2,94.45 1 1
